action,threshold,n,n_tp,n_fp,n_fn,n_tn,cost_tp,cost_fp,cost_fn,cost_tn,cost_tp_counterfactual,total_cost,do_nothing_cost,savings,n_flagged,flag_rate,precision,recall
remove_cod,0.0,7511,1320,6191,0,0,10073884.516800001,13486293.59908,0.0,0.0,28763670.048000004,23560178.11588,28763670.048000004,5203491.932120003,7511,1.0,0.17574224470776195,1.0
remove_cod,0.01,7511,1320,6180,0,11,10073884.516800001,13477513.467,0.0,0.0,28763670.048000004,23551397.9838,28763670.048000004,5212272.064200003,7500,0.998535481294102,0.176,1.0
remove_cod,0.02,7511,1320,6179,0,12,10073884.516800001,13476079.627,0.0,0.0,28763670.048000004,23549964.1438,28763670.048000004,5213705.904200003,7499,0.9984023432299295,0.1760234697959728,1.0
remove_cod,0.02381,7511,1318,6095,2,96,10072827.3952,13365481.139560003,2991.7760000000007,0.0,28760678.272000004,23441300.310760003,28763670.048000004,5322369.737240002,7413,0.9869524697110904,0.17779576419803048,0.9984848484848485
remove_cod,0.03,7511,1318,6092,2,99,10072827.3952,13365077.07172,2991.7760000000007,0.0,28760678.272000004,23440896.24292,28763670.048000004,5322773.805080004,7410,0.9865530555185728,0.17786774628879892,0.9984848484848485
remove_cod,0.039356,7511,1318,6087,2,104,10072827.3952,13362702.68832,2991.7760000000007,0.0,28760678.272000004,23438521.85952,28763670.048000004,5325148.188480005,7405,0.98588736519771,0.17798784604996623,0.9984848484848485
remove_cod,0.04,7511,1318,6086,2,105,10072827.3952,13362049.57708,2991.7760000000007,0.0,28760678.272000004,23437868.74828,28763670.048000004,5325801.299720004,7404,0.9857542271335374,0.17801188546731497,0.9984848484848485
remove_cod,0.05,7511,1318,6086,2,105,10072827.3952,13362049.57708,2991.7760000000007,0.0,28760678.272000004,23437868.74828,28763670.048000004,5325801.299720004,7404,0.9857542271335374,0.17801188546731497,0.9984848484848485
remove_cod,0.056497,7511,1318,6085,2,106,10072827.3952,13361406.89108,2991.7760000000007,0.0,28760678.272000004,23437226.06228,28763670.048000004,5326443.985720005,7403,0.985621089069365,0.17803593137917062,0.9984848484848485
remove_cod,0.057146,7511,1290,5725,30,466,10003939.4544,12860474.817920001,199414.46400000004,0.0,28564255.584000003,23063828.736320004,28763670.048000004,5699841.31168,7015,0.9339635201704167,0.18389166072701355,0.9772727272727273
remove_cod,0.05741,7511,1164,4253,156,1938,9516495.1992,10820927.600440001,1590312.3360000001,0.0,27173357.712000005,21927735.13564,28763670.048000004,6835934.912360005,5417,0.7212088936226867,0.21487908436403913,0.8818181818181818
remove_cod,0.057971,7511,1164,4253,156,1938,9516495.1992,10820927.600440001,1590312.3360000001,0.0,27173357.712000005,21927735.13564,28763670.048000004,6835934.912360005,5417,0.7212088936226867,0.21487908436403913,0.8818181818181818
remove_cod,0.06,7511,1158,4150,162,2041,9499129.1616,10646312.89172,1639843.872,0.0,27123826.176,21785285.92532,28763670.048000004,6978384.122680005,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_cod,0.07,7511,1158,4150,162,2041,9499129.1616,10646312.89172,1639843.872,0.0,27123826.176,21785285.92532,28763670.048000004,6978384.122680005,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_cod,0.08,7511,1158,4150,162,2041,9499129.1616,10646312.89172,1639843.872,0.0,27123826.176,21785285.92532,28763670.048000004,6978384.122680005,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_cod,0.09,7511,1158,4150,162,2041,9499129.1616,10646312.89172,1639843.872,0.0,27123826.176,21785285.92532,28763670.048000004,6978384.122680005,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_cod,0.095652,7511,1158,4150,162,2041,9499129.1616,10646312.89172,1639843.872,0.0,27123826.176,21785285.92532,28763670.048000004,6978384.122680005,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_cod,0.1,7511,1123,3757,197,2434,9348512.7544,9904059.4844,2069676.4640000002,0.0,26693993.584,21322248.702800002,28763670.048000004,7441421.345200002,4880,0.6497137531620291,0.23012295081967213,0.8507575757575757
remove_cod,0.11,7511,1123,3757,197,2434,9348512.7544,9904059.4844,2069676.4640000002,0.0,26693993.584,21322248.702800002,28763670.048000004,7441421.345200002,4880,0.6497137531620291,0.23012295081967213,0.8507575757575757
remove_cod,0.116788,7511,1123,3756,197,2435,9348512.7544,9903110.656200001,2069676.4640000002,0.0,26693993.584,21321299.8746,28763670.048000004,7442370.173400003,4879,0.6495806150978565,0.2301701168272187,0.8507575757575757
remove_cod,0.12,7511,1039,3079,281,3112,8935367.44,8579555.288600001,3248891.648,0.0,25514778.4,20763814.376600005,28763670.048000004,7999855.671399999,4118,0.5482625482625483,0.2523069451189898,0.7871212121212121
remove_cod,0.121855,7511,1039,3077,281,3114,8935367.44,8574315.31084,3248891.648,0.0,25514778.4,20758574.398840003,28763670.048000004,8005095.649160001,4116,0.5479962721342032,0.2524295432458698,0.7871212121212121
