action,threshold,n,n_tp,n_fp,n_fn,n_tn,cost_tp,cost_fp,cost_fn,cost_tn,cost_tp_counterfactual,total_cost,do_nothing_cost,savings,n_flagged,flag_rate,precision,recall
remove_discount,0.0,7511,1320,6191,0,0,15826618.526400004,6011105.48848,0.0,0.0,28763670.048000004,21837724.01488,28763670.048000004,6925946.033120003,7511,1.0,0.17574224470776195,1.0
remove_discount,0.01,7511,1320,6180,0,11,15826618.526400004,6007172.652000001,0.0,0.0,28763670.048000004,21833791.178400002,28763670.048000004,6929878.869600002,7500,0.998535481294102,0.176,1.0
remove_discount,0.02,7511,1320,6179,0,12,15826618.526400004,6006532.612000001,0.0,0.0,28763670.048000004,21833151.138400003,28763670.048000004,6930518.909600001,7499,0.9984023432299295,0.1760234697959728,1.0
remove_discount,0.02381,7511,1318,6095,2,96,15824963.049600001,5957144.39536,2991.7760000000007,0.0,28760678.272000004,21785099.220960002,28763670.048000004,6978570.827040002,7413,0.9869524697110904,0.17779576419803048,0.9984848484848485
remove_discount,0.03,7511,1318,6092,2,99,15824963.049600001,5956956.476320001,2991.7760000000007,0.0,28760678.272000004,21784911.301920004,28763670.048000004,6978758.74608,7410,0.9865530555185728,0.17786774628879892,0.9984848484848485
remove_discount,0.039356,7511,1318,6087,2,104,15824963.049600001,5955887.305920001,2991.7760000000007,0.0,28760678.272000004,21783842.131520003,28763670.048000004,6979827.916480001,7405,0.98588736519771,0.17798784604996623,0.9984848484848485
remove_discount,0.04,7511,1318,6086,2,105,15824963.049600001,5955594.256480001,2991.7760000000007,0.0,28760678.272000004,21783549.082080003,28763670.048000004,6980120.965920001,7404,0.9857542271335374,0.17801188546731497,0.9984848484848485
remove_discount,0.05,7511,1318,6086,2,105,15824963.049600001,5955594.256480001,2991.7760000000007,0.0,28760678.272000004,21783549.082080003,28763670.048000004,6980120.965920001,7404,0.9857542271335374,0.17801188546731497,0.9984848484848485
remove_discount,0.056497,7511,1318,6085,2,106,15824963.049600001,5955305.840480001,2991.7760000000007,0.0,28760678.272000004,21783260.66608,28763670.048000004,6980409.381920002,7403,0.985621089069365,0.17803593137917062,0.9984848484848485
remove_discount,0.057146,7511,1290,5725,30,466,15716790.571200002,5731669.36352,199414.46400000004,0.0,28564255.584000003,21647874.398720004,28763670.048000004,7115795.6492800005,7015,0.9339635201704167,0.18389166072701355,0.9772727272727273
remove_discount,0.05741,7511,1164,4253,156,1938,14951166.741600003,4821115.044640001,1590312.3360000001,0.0,27173357.712000005,21362594.122240003,28763670.048000004,7401075.925760001,5417,0.7212088936226867,0.21487908436403913,0.8818181818181818
remove_discount,0.057971,7511,1164,4253,156,1938,14951166.741600003,4821115.044640001,1590312.3360000001,0.0,27173357.712000005,21362594.122240003,28763670.048000004,7401075.925760001,5417,0.7212088936226867,0.21487908436403913,0.8818181818181818
remove_discount,0.06,7511,1158,4150,162,2041,14923894.396800004,4743222.39632,1639843.872,0.0,27123826.176,21306960.665120006,28763670.048000004,7456709.382879999,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
