feature,gain,gain_pct
top_category,10049.2054002285,0.1445350194191277
order_value_gbp,7212.1694811582565,0.10373069456710937
prior_return_rate,4819.184990763664,0.06931304202504975
prior_avg_order_value,4017.99861741066,0.05778979382591513
avg_qty_per_line,3806.909841656685,0.054753760718056974
basket_concentration,3396.2729474306107,0.048847680673178365
avg_unit_price,3332.3414323329926,0.04792817088030276
days_since_last_order,3252.0292724370956,0.04677306267743116
days_to_christmas,3027.5409239530563,0.04354430711763627
price_spread,2901.823550581932,0.04173614793710007
max_unit_price,2683.5555884838104,0.038596858522266526
category_return_rate,2462.337484240532,0.035415138006141156
total_quantity,2456.585484266281,0.03533240853700738
n_lines,2343.6953508853912,0.033708740100489624
customer_tenure_days,2277.156926870346,0.03275173583755416
discount_pct,1865.5367283821106,0.02683151319184632
prior_orders,1331.455404639244,0.019149965106779476
log_order_value,1258.7719445228577,0.018104578441766894
min_unit_price,1257.0380215644836,0.018079639894043095
prior_returns_observed,1255.914629459381,0.018063482447433176
hour,1248.4741767644882,0.01795646841677967
day_of_week,1076.887967824936,0.015488590106662852
month,960.5112076997757,0.013814774455104697
category_order_count,602.9794023036957,0.008672490624912195
country,508.7698599100113,0.0073175001060569725
region,88.90257143974304,0.001278661782469037
is_weekend,33.77484965324402,0.0004857745817792462
is_new_customer,0.0,0.0
