decile,n,returns,mean_score,return_rate,lift
0,752,327,0.431148770586282,0.4348404255319149,2.474307906189555
1,751,196,0.27158849074825236,0.2609853528628495,1.485046201024896
2,751,180,0.21962616822429906,0.2396804260985353,1.3638179397167414
3,751,159,0.20709806086056504,0.21171770972037285,1.2047058467497882
4,751,130,0.15958013641409363,0.17310252996005326,0.9849796231287576
5,751,99,0.12356827277185115,0.1318242343541944,0.7500998668442077
6,751,65,0.10614715378768314,0.08655126498002663,0.4924898115643788
7,751,54,0.06003741430161899,0.07190412782956059,0.40914538191502237
8,751,64,0.05740987983978639,0.085219707057257,0.48491304523261913
9,751,46,0.05189466699794714,0.06125166444740346,0.348531251260945
