feature,mean_abs_shap,mean_shap,share
order_value_gbp,0.3620017425623487,-0.002817764467559895,0.13048063729261838
top_category,0.3363243001973806,-0.07548257746077591,0.1212254082428619
prior_return_rate,0.2801723967341614,0.03508265340561782,0.10098590304818036
category_return_rate,0.1834945614516413,0.01847929370733365,0.06613914935455317
max_unit_price,0.14230840394797156,-0.007346335302484058,0.05129392777999844
avg_qty_per_line,0.13608612361790765,0.005257373331602647,0.04905115652388983
discount_pct,0.12622680742704012,0.027562039374973205,0.045497444735797386
prior_avg_order_value,0.11370218028498372,-0.00018066050876958074,0.04098304289955076
avg_unit_price,0.10475407746528098,-0.004881146811271808,0.037757770694476785
prior_returns_observed,0.10245580015697447,0.05673966342195005,0.03692937499190265
price_spread,0.09704469456015123,-0.009701581922730445,0.034978985190644865
days_since_last_order,0.09596467972816314,0.002567364808297789,0.03458970246905958
customer_tenure_days,0.0837283918976399,-0.05442304014594728,0.030179230235082434
days_to_christmas,0.07868162468807895,-0.033646662418378825,0.028360163296039766
prior_orders,0.07598413682341701,-0.03395140771046109,0.027387875336377328
basket_concentration,0.0743506247792989,-0.0035579031041735793,0.026799088964706782
log_order_value,0.06407306706524034,-0.00030541612817243055,0.0230946253595045
total_quantity,0.05544118750001732,-0.0022236743881707804,0.01998333330126408
min_unit_price,0.05204111703071273,0.0055422653742242724,0.01875780505232681
n_lines,0.042724668404222406,-0.002909592323677019,0.015399765542671612
day_of_week,0.03588711925192608,0.0017332986534609946,0.012935225552901905
hour,0.03362786232336559,0.00031859452038438403,0.012120894434604694
country,0.033238627956484794,0.006179150825586361,0.011980598015346303
category_order_count,0.031014374499309345,0.018527355444054865,0.011178883618784866
month,0.024416473152837927,0.0030023614523335186,0.00880072276688471
is_weekend,0.005445412232692536,0.00036396828465543404,0.001962755354196581
region,0.0031808998398679296,-0.0006972512407092095,0.0011465299457735915
is_new_customer,0.0,0.0,0.0
